keyword	i	bid_category	bid_id	bid_url	bid_class	bid_name	bid_org	need_org	contact_type	create_date
배수지	01	용역	20230620804	https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20230620804&bidseq=00&releaseYn=Y&taskClCd=5 	일반	검암배수지 건설공사 설계단계 건설사업관리 용역	인천광역시 상수도사업본부	인천광역시 상수도사업본부	수의(총액)소액-견적입찰(2인 이상 견적 제출)	2023/06/14 16:06(2023/06/21 14:00)
배수지	02	용역	B5202307428	https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20230623851&bidseq=00	일반	2023년 천안공업 배수지 청소용역	한국수자원공사	한국수자원공사 천안권지사	수의계약	2023/06/14 16:00(2023/06/20 15:00)
배수지	03	용역	20230620823	https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20230620823&bidseq=00&releaseYn=Y&taskClCd=5 	일반	괴산배수지외4개소정밀안전점검용역	충청북도 괴산군	충청북도 괴산군	수의(총액)소액-견적입찰(2인 이상 견적 제출)	2023/06/14 15:16(2023/06/19 16:00)
배수지	04	용역	20230615480	https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20230615480&bidseq=01&releaseYn=Y&taskClCd=5 	취소	괴산배수지외4개소정밀안전점검용역	충청북도 괴산군	충청북도 괴산군	수의(총액)소액-견적입찰(2인 이상 견적 제출)	2023/06/14 15:11(2023/06/15 16:00)
배수지	05	공사	20230620516	https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20230620516&bidseq=00&releaseYn=Y&taskClCd=3 	긴급	지도 배수지 증설사업	전라남도 신안군	전라남도 신안군	지역제한	2023/06/14 14:21(2023/06/20 12:00)
배수지	06	공사	20230619840	https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20230619840&bidseq=00&releaseYn=Y&taskClCd=3 	일반	인후배수지 내부방수공사	전라북도 전주시	전라북도 전주시	수의(소액)-견적입찰(2인 이상 견적 제출)	2023/06/14 14:10(2023/06/20 10:00)
배수지	07	공사	20230617433	https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20230617433&bidseq=00&releaseYn=Y&taskClCd=3 	일반	소액수의 견적제출 안내공고[2022년 상반기 마산합포구 외 2 배수지 및 가압장 조경(제초) 공사]	경상남도 창원시 상수도사업소	경상남도 창원시 상수도사업소	수의(소액)-견적입찰(2인 이상 견적 제출)	2023/06/14 09:29(2023/06/20 14:00)
배수지	08	공사	20230617366	https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20230617366&bidseq=00&releaseYn=Y&taskClCd=3 	일반	소액수의 견적제출 안내공고[2023년 상반기 의창구, 성산구 배수지 및 가압장 조경(제초) 공사]	경상남도 창원시 상수도사업소	경상남도 창원시 상수도사업소	수의(소액)-견적입찰(2인 이상 견적 제출)	2023/06/14 09:27(2023/06/20 14:00)
배수지	09	물품	20230618142	https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20230618142&bidseq=00&releaseYn=Y&taskClCd=1 	일반	대현산배수지 외 2개소 원격감시제어반 제작 구매 설치	서울특별시	서울특별시 상수도사업본부 동부수도사업소	지명(총액)	2023/06/13 15:11(2023/06/27 10:00)
배수지	10	공사	20230617983	https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20230617983&bidseq=00&releaseYn=Y&taskClCd=3 	긴급	율전배수지 송수관로(이목지구내) 이설공사	경기도 수원시	경기도 수원시	일반경쟁	2023/06/13 14:49(2023/06/20 10:00)
